Day,Day_Index,BREAKFAST,LUNCH,SNACKS,DINNER
SUNDAY,13,Dosa,"Phulka, Paneer Butter Masala, Veg Biryani, Onion Raitha",Aloo Samosa,"Phulka, Veg Curry, Rice, Dal"
MONDAY,0,"Pongal, Mysore Bonda","Phulka, Dal Makhani, Bhindi Fry, Rice, Sambhar",Onion Pakoda,"Chole Bhature, Onion Mirch Salad, Rice, Snake Gourd Kootu"
TUESDAY,1,Dosa,"Poori, Dum Aloo, Beans Carrot Poriyal, Rice, Vathakolambu",Banana Bajji,"Phulka, Meal Maker Curry, Fried Rice, Manchurian"
WEDNESDAY,2,"Idly, Vada","Phulka, Panchratan dal, Onion Pakoda, Perugu Pachadi, Rice, Brinjal Mochai Gravy",Dahi Vada,"Phulka, Palak Paneer, Veg Biryani"
THURSDAY,3,"Poori, Channa Masala","Phulka, Rajma Dal, Aloo Gobi Matar Dry, Rice, Sambhar",Sweet Corn,"Dosa, Rice, Sambhar, Aloo Podimas"
FRIDAY,4,"Semiya Upma, Poha, Mysore Bonda","Phulka, Pumpkin Kaala Channa, Rice, Beetroot Chana Poriyal",Maggi,"Lacha Paratha, Veg Kofta, Rice"
SATURDAY,5,"Aloo Paratha, Channa Masala, Raitha","Phulka, Corn Peas Masala, Sprouted Dal, Rice",Millet Snack,"Phulka, Paneer Butter Masala, Rice, Sambhar"
SUNDAY,6,Uthappam,"Phulka, Aloo Gobi Matar, Paneer Biryani",Pancake,"Idly, Podi, Chutney, Rice, Sambhar"
MONDAY,7,"Pesarattu, Upma","Phulka, Peas Masala, Aloo Masala Wedges, Rice, Sambhar",Onion Pakoda,"Phulka, Toor Dal, Veg Kurma, Rice"
TUESDAY,8,"Poori, Potato Masala","Phulka, Veg Kurma, Beetroot Channa Poriyal, Rice, Vathakolambu",Mirchi Bajji,"Phulka, Kadai Paneer, Veg Biryani, Rice"
WEDNESDAY,9,"Dosa, Sambhar","Phulka, Mixed Dal, Brinjal Poriyal, Mix Veg Karakozhambu",Sweet Corn,Special Dinner
THURSDAY,10,"Chow Chow Bath, Mysore Bonda","Poori, Punjabi Aloo Matar, Kovakai Fry, Rice, Andhra Tomato Dal",Aloo Samosa,"Dosa, Chutney, Rice, Mixed Dal, Aloo Peas Dry"
FRIDAY,11,"Idly, Vada","Phulka, Mix Veg Matar, Lauki Chana dal, Gobi 65, Rice",Channa Chat,"Phulka, Mix Veg Kurma, Fried Rice, Manchurian"
SATURDAY,12,"Methi Paratha, Channa Masala","Phulka, Mix Veg Curry, Chilli Soya Bean Dry, Perugu Pachadi, Rice, Sambhar",Dahi Vada,"Phulka, Channa Peas Palak, Khichichadi, Curd, Rice, Aloo 65"
